season,round,raceName,circuitName,locality,country,raceDate,raceTime
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2023-03-05,15:00:00Z
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2023-03-19,17:00:00Z
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2023-04-02,05:00:00Z
2023,4,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,2023-04-30,11:00:00Z
2023,5,Miami Grand Prix,Miami International Autodrome,Miami,USA,2023-05-07,19:30:00Z
2023,6,Monaco Grand Prix,Circuit de Monaco,Monte Carlo,Monaco,2023-05-28,13:00:00Z
2023,7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Barcelona,Spain,2023-06-04,13:00:00Z
2023,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,2023-06-18,18:00:00Z
2023,9,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2023-07-02,13:00:00Z
2023,10,British Grand Prix,Silverstone Circuit,Silverstone,UK,2023-07-09,14:00:00Z
2023,11,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2023-07-23,13:00:00Z
2023,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2023-07-30,13:00:00Z
2023,13,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,2023-08-27,13:00:00Z
2023,14,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2023-09-03,13:00:00Z
2023,15,Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,2023-09-17,12:00:00Z
2023,16,Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,2023-09-24,05:00:00Z
2023,17,Qatar Grand Prix,Losail International Circuit,Lusail,Qatar,2023-10-08,17:00:00Z
2023,18,United States Grand Prix,Circuit of the Americas,Austin,USA,2023-10-22,19:00:00Z
2023,19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2023-10-29,20:00:00Z
2023,20,São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2023-11-05,17:00:00Z
2023,21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,Las Vegas,USA,2023-11-19,06:00:00Z
2023,22,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2023-11-26,13:00:00Z
