"season","round","raceName","points","constructorCode","constructorAbbr","constructor_name"
"2024","2","Saudi Arabian Grand Prix","10","aston_martin","AST","Aston Martin"
"2024","2","Saudi Arabian Grand Prix","0","williams","WIL","Williams"
"2024","2","Saudi Arabian Grand Prix","0","rb","VRB","RB F1 Team"
"2024","2","Saudi Arabian Grand Prix","43","red_bull","RED","Red Bull"
"2024","2","Saudi Arabian Grand Prix","16","mclaren","MCL","McLaren"
"2024","2","Saudi Arabian Grand Prix","22","ferrari","FER","Ferrari"
"2024","2","Saudi Arabian Grand Prix","1","haas","HAA","Haas F1 Team"
"2024","2","Saudi Arabian Grand Prix","0","sauber","KCK","Sauber"
"2024","2","Saudi Arabian Grand Prix","10","mercedes","MER","Mercedes"
"2024","2","Saudi Arabian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","7","Emilia Romagna Grand Prix","2","aston_martin","AST","Aston Martin"
"2024","7","Emilia Romagna Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","7","Emilia Romagna Grand Prix","1","rb","VRB","RB F1 Team"
"2024","7","Emilia Romagna Grand Prix","29","red_bull","RED","Red Bull"
"2024","7","Emilia Romagna Grand Prix","30","mclaren","MCL","McLaren"
"2024","7","Emilia Romagna Grand Prix","25","ferrari","FER","Ferrari"
"2024","7","Emilia Romagna Grand Prix","0","haas","HAA","Haas F1 Team"
"2024","7","Emilia Romagna Grand Prix","0","sauber","KCK","Sauber"
"2024","7","Emilia Romagna Grand Prix","15","mercedes","MER","Mercedes"
"2024","7","Emilia Romagna Grand Prix","0","williams","WIL","Williams"
"2024","12","British Grand Prix","10","aston_martin","AST","Aston Martin"
"2024","12","British Grand Prix","2","williams","WIL","Williams"
"2024","12","British Grand Prix","1","rb","VRB","RB F1 Team"
"2024","12","British Grand Prix","18","red_bull","RED","Red Bull"
"2024","12","British Grand Prix","27","mclaren","MCL","McLaren"
"2024","12","British Grand Prix","11","ferrari","FER","Ferrari"
"2024","12","British Grand Prix","8","haas","HAA","Haas F1 Team"
"2024","12","British Grand Prix","0","sauber","KCK","Sauber"
"2024","12","British Grand Prix","25","mercedes","MER","Mercedes"
"2024","12","British Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","18","Singapore Grand Prix","4","aston_martin","AST","Aston Martin"
"2024","18","Singapore Grand Prix","0","williams","WIL","Williams"
"2024","18","Singapore Grand Prix","0","rb","VRB","RB F1 Team"
"2024","18","Singapore Grand Prix","19","red_bull","RED","Red Bull"
"2024","18","Singapore Grand Prix","40","mclaren","MCL","McLaren"
"2024","18","Singapore Grand Prix","16","ferrari","FER","Ferrari"
"2024","18","Singapore Grand Prix","2","haas","HAA","Haas F1 Team"
"2024","18","Singapore Grand Prix","0","sauber","KCK","Sauber"
"2024","18","Singapore Grand Prix","20","mercedes","MER","Mercedes"
"2024","18","Singapore Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","23","Qatar Grand Prix","6","aston_martin","AST","Aston Martin"
"2024","23","Qatar Grand Prix","10","alpine","ALP","Alpine F1 Team"
"2024","23","Qatar Grand Prix","0","rb","VRB","RB F1 Team"
"2024","23","Qatar Grand Prix","25","red_bull","RED","Red Bull"
"2024","23","Qatar Grand Prix","17","mclaren","MCL","McLaren"
"2024","23","Qatar Grand Prix","26","ferrari","FER","Ferrari"
"2024","23","Qatar Grand Prix","2","haas","HAA","Haas F1 Team"
"2024","23","Qatar Grand Prix","4","sauber","KCK","Sauber"
"2024","23","Qatar Grand Prix","12","mercedes","MER","Mercedes"
"2024","23","Qatar Grand Prix","0","williams","WIL","Williams"
