driver_id,abbr,ergast_driver_id,driver_name
ALF_BOT,BOT,,
ALF_ZHO,ZHO,,
ALP_GAS,GAS,,
ALP_OCO,OCO,,
ALT_DEV,DEV,,
ALT_LAW,LAW,,
ALT_RIC,RIC,,
ALT_TSU,TSU,,
AST_ALO,ALO,,
AST_STR,STR,,
FER_LEC,LEC,,
FER_SAI,SAI,,
HAA_HUL,HUL,,
HAA_MAG,MAG,,
MCL_NOR,NOR,,
MCL_PIA,PIA,,
MER_HAM,HAM,,
MER_RUS,RUS,,
RED_PER,PER,,
RED_VER,VER,,
WIL_ALB,ALB,,
WIL_SAR,SAR,,
ALP_DOO,DOO,,
ALP_GAS,GAS,,
ALP_OCO,OCO,,
AST_ALO,ALO,,
AST_STR,STR,,
FER_BEA,BEA,,
FER_LEC,LEC,,
FER_SAI,SAI,,
HAA_BEA,BEA,,
HAA_HUL,HUL,,
HAA_MAG,MAG,,
KCK_BOT,BOT,,
KCK_ZHO,ZHO,,
MCL_NOR,NOR,,
MCL_PIA,PIA,,
MER_HAM,HAM,,
MER_RUS,RUS,,
RED_PER,PER,,
RED_VER,VER,,
VRB_LAW,LAW,,
VRB_RIC,RIC,,
VRB_TSU,TSU,,
WIL_ALB,ALB,,
WIL_COL,COL,,
WIL_SAR,SAR,,
ALP_COL,COL,,
ALP_DOO,DOO,,
ALP_GAS,GAS,,
AST_ALO,ALO,,
AST_STR,STR,,
FER_HAM,HAM,,
FER_LEC,LEC,,
HAA_BEA,BEA,,
HAA_OCO,OCO,,
KCK_BOR,BOR,,
KCK_HUL,HUL,,
MCL_NOR,NOR,,
MCL_PIA,PIA,,
MER_ANT,ANT,,
MER_RUS,RUS,,
RED_LAW,LAW,,
RED_TSU,TSU,,
RED_VER,VER,,
VRB_HAD,HAD,,
VRB_LAW,LAW,,
VRB_TSU,TSU,,
WIL_ALB,ALB,,
WIL_SAI,SAI,,
