season,round,season_round
2023,1,2023-R01
2023,2,2023-R02
2023,3,2023-R03
2023,4,2023-R04
2023,5,2023-R05
2023,7,2023-R07
2023,8,2023-R08
2023,9,2023-R09
2023,10,2023-R10
2023,11,2023-R11
2023,12,2023-R12
2023,13,2023-R13
2023,14,2023-R14
2023,15,2023-R15
2023,16,2023-R16
2023,17,2023-R17
2023,18,2023-R18
2023,19,2023-R19
2023,20,2023-R20
2023,21,2023-R21
2023,22,2023-R22
2023,23,2023-R23
2024,1,2024-R01
2024,2,2024-R02
2024,3,2024-R03
2024,4,2024-R04
2024,5,2024-R05
2024,6,2024-R06
2024,7,2024-R07
2024,8,2024-R08
2024,9,2024-R09
2024,10,2024-R10
2024,11,2024-R11
2024,12,2024-R12
2024,13,2024-R13
2024,14,2024-R14
2024,15,2024-R15
2024,16,2024-R16
2024,17,2024-R17
2024,18,2024-R18
2024,19,2024-R19
2024,20,2024-R20
2024,21,2024-R21
2024,22,2024-R22
2024,23,2024-R23
2024,24,2024-R24
2025,1,2025-R01
2025,2,2025-R02
2025,3,2025-R03
2025,4,2025-R04
2025,5,2025-R05
2025,6,2025-R06
2025,7,2025-R07
2025,8,2025-R08
2025,9,2025-R09
2025,10,2025-R10
2025,11,2025-R11
2025,12,2025-R12
2025,13,2025-R13
2025,14,2025-R14
2025,15,2025-R15
2025,16,2025-R16
2025,17,2025-R17
2025,18,2025-R18
2025,19,2025-R19
2025,20,2025-R20
2025,21,2025-R21
2025,22,2025-R22
2025,23,2025-R23
2025,24,2025-R24
