"season","round","raceName","points","constructorCode","constructorAbbr","constructor_name"
"2024","1","Bahrain Grand Prix","3","aston_martin","AST","Aston Martin"
"2024","1","Bahrain Grand Prix","0","williams","WIL","Williams"
"2024","1","Bahrain Grand Prix","0","rb","VRB","RB F1 Team"
"2024","1","Bahrain Grand Prix","44","red_bull","RED","Red Bull"
"2024","1","Bahrain Grand Prix","12","mclaren","MCL","McLaren"
"2024","1","Bahrain Grand Prix","27","ferrari","FER","Ferrari"
"2024","1","Bahrain Grand Prix","0","haas","HAA","Haas F1 Team"
"2024","1","Bahrain Grand Prix","0","sauber","KCK","Sauber"
"2024","1","Bahrain Grand Prix","16","mercedes","MER","Mercedes"
"2024","1","Bahrain Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","2","Saudi Arabian Grand Prix","10","aston_martin","AST","Aston Martin"
"2024","2","Saudi Arabian Grand Prix","0","williams","WIL","Williams"
"2024","2","Saudi Arabian Grand Prix","0","rb","VRB","RB F1 Team"
"2024","2","Saudi Arabian Grand Prix","43","red_bull","RED","Red Bull"
"2024","2","Saudi Arabian Grand Prix","16","mclaren","MCL","McLaren"
"2024","2","Saudi Arabian Grand Prix","22","ferrari","FER","Ferrari"
"2024","2","Saudi Arabian Grand Prix","1","haas","HAA","Haas F1 Team"
"2024","2","Saudi Arabian Grand Prix","0","sauber","KCK","Sauber"
"2024","2","Saudi Arabian Grand Prix","10","mercedes","MER","Mercedes"
"2024","2","Saudi Arabian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","3","Australian Grand Prix","12","aston_martin","AST","Aston Martin"
"2024","3","Australian Grand Prix","0","williams","WIL","Williams"
"2024","3","Australian Grand Prix","6","rb","VRB","RB F1 Team"
"2024","3","Australian Grand Prix","10","red_bull","RED","Red Bull"
"2024","3","Australian Grand Prix","27","mclaren","MCL","McLaren"
"2024","3","Australian Grand Prix","44","ferrari","FER","Ferrari"
"2024","3","Australian Grand Prix","3","haas","HAA","Haas F1 Team"
"2024","3","Australian Grand Prix","0","sauber","KCK","Sauber"
"2024","3","Australian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2024","3","Australian Grand Prix","0","mercedes","MER","Mercedes"
