"season","round","raceName","position","points","wins","constructorCode","constructorAbbr","constructor_name"
"2023","1","Bahrain Grand Prix","1","43","1","red_bull","RED","Red Bull"
"2023","1","Bahrain Grand Prix","2","23","0","aston_martin","AST","Aston Martin"
"2023","1","Bahrain Grand Prix","3","16","0","mercedes","MER","Mercedes"
"2023","1","Bahrain Grand Prix","4","12","0","ferrari","FER","Ferrari"
"2023","1","Bahrain Grand Prix","5","4","0","alfa","KCK","Alfa Romeo"
"2023","1","Bahrain Grand Prix","6","2","0","alpine","ALP","Alpine F1 Team"
"2023","1","Bahrain Grand Prix","7","1","0","williams","WIL","Williams"
"2023","1","Bahrain Grand Prix","8","0","0","alphatauri","","AlphaTauri"
"2023","1","Bahrain Grand Prix","9","0","0","haas","HAA","Haas F1 Team"
"2023","1","Bahrain Grand Prix","10","0","0","mclaren","MCL","McLaren"
"2023","2","Saudi Arabian Grand Prix","1","87","2","red_bull","RED","Red Bull"
"2023","2","Saudi Arabian Grand Prix","2","38","0","aston_martin","AST","Aston Martin"
"2023","2","Saudi Arabian Grand Prix","3","38","0","mercedes","MER","Mercedes"
"2023","2","Saudi Arabian Grand Prix","4","26","0","ferrari","FER","Ferrari"
"2023","2","Saudi Arabian Grand Prix","5","8","0","alpine","ALP","Alpine F1 Team"
"2023","2","Saudi Arabian Grand Prix","6","4","0","alfa","KCK","Alfa Romeo"
"2023","2","Saudi Arabian Grand Prix","7","1","0","haas","HAA","Haas F1 Team"
"2023","2","Saudi Arabian Grand Prix","8","1","0","williams","WIL","Williams"
"2023","2","Saudi Arabian Grand Prix","9","0","0","alphatauri","","AlphaTauri"
"2023","2","Saudi Arabian Grand Prix","10","0","0","mclaren","MCL","McLaren"
"2023","3","Australian Grand Prix","1","123","3","red_bull","RED","Red Bull"
"2023","3","Australian Grand Prix","2","65","0","aston_martin","AST","Aston Martin"
"2023","3","Australian Grand Prix","3","56","0","mercedes","MER","Mercedes"
"2023","3","Australian Grand Prix","4","26","0","ferrari","FER","Ferrari"
"2023","3","Australian Grand Prix","5","12","0","mclaren","MCL","McLaren"
"2023","3","Australian Grand Prix","6","8","0","alpine","ALP","Alpine F1 Team"
"2023","3","Australian Grand Prix","7","7","0","haas","HAA","Haas F1 Team"
"2023","3","Australian Grand Prix","8","6","0","alfa","KCK","Alfa Romeo"
"2023","3","Australian Grand Prix","9","1","0","alphatauri","","AlphaTauri"
"2023","3","Australian Grand Prix","10","1","0","williams","WIL","Williams"
"2023","4","Azerbaijan Grand Prix","1","180","4","red_bull","RED","Red Bull"
"2023","4","Azerbaijan Grand Prix","2","87","0","aston_martin","AST","Aston Martin"
"2023","4","Azerbaijan Grand Prix","3","76","0","mercedes","MER","Mercedes"
"2023","4","Azerbaijan Grand Prix","4","62","0","ferrari","FER","Ferrari"
"2023","4","Azerbaijan Grand Prix","5","14","0","mclaren","MCL","McLaren"
"2023","4","Azerbaijan Grand Prix","6","8","0","alpine","ALP","Alpine F1 Team"
"2023","4","Azerbaijan Grand Prix","7","7","0","haas","HAA","Haas F1 Team"
"2023","4","Azerbaijan Grand Prix","8","6","0","alfa","KCK","Alfa Romeo"
"2023","4","Azerbaijan Grand Prix","9","2","0","alphatauri","","AlphaTauri"
"2023","4","Azerbaijan Grand Prix","10","1","0","williams","WIL","Williams"
"2023","6","Monaco Grand Prix","1","249","6","red_bull","RED","Red Bull"
"2023","6","Monaco Grand Prix","2","120","0","aston_martin","AST","Aston Martin"
"2023","6","Monaco Grand Prix","3","119","0","mercedes","MER","Mercedes"
"2023","6","Monaco Grand Prix","4","90","0","ferrari","FER","Ferrari"
"2023","6","Monaco Grand Prix","5","35","0","alpine","ALP","Alpine F1 Team"
"2023","6","Monaco Grand Prix","6","17","0","mclaren","MCL","McLaren"
"2023","6","Monaco Grand Prix","7","8","0","haas","HAA","Haas F1 Team"
"2023","6","Monaco Grand Prix","8","6","0","alfa","KCK","Alfa Romeo"
"2023","6","Monaco Grand Prix","9","2","0","alphatauri","","AlphaTauri"
"2023","6","Monaco Grand Prix","10","1","0","williams","WIL","Williams"
"2023","7","Spanish Grand Prix","1","287","7","red_bull","RED","Red Bull"
"2023","7","Spanish Grand Prix","2","152","0","mercedes","MER","Mercedes"
"2023","7","Spanish Grand Prix","3","134","0","aston_martin","AST","Aston Martin"
"2023","7","Spanish Grand Prix","4","100","0","ferrari","FER","Ferrari"
"2023","7","Spanish Grand Prix","5","40","0","alpine","ALP","Alpine F1 Team"
"2023","7","Spanish Grand Prix","6","17","0","mclaren","MCL","McLaren"
"2023","7","Spanish Grand Prix","7","8","0","haas","HAA","Haas F1 Team"
"2023","7","Spanish Grand Prix","8","8","0","alfa","KCK","Alfa Romeo"
"2023","7","Spanish Grand Prix","9","2","0","alphatauri","","AlphaTauri"
"2023","7","Spanish Grand Prix","10","1","0","williams","WIL","Williams"
"2023","8","Canadian Grand Prix","1","321","8","red_bull","RED","Red Bull"
"2023","8","Canadian Grand Prix","2","167","0","mercedes","MER","Mercedes"
"2023","8","Canadian Grand Prix","3","154","0","aston_martin","AST","Aston Martin"
"2023","8","Canadian Grand Prix","4","122","0","ferrari","FER","Ferrari"
"2023","8","Canadian Grand Prix","5","44","0","alpine","ALP","Alpine F1 Team"
"2023","8","Canadian Grand Prix","6","17","0","mclaren","MCL","McLaren"
"2023","8","Canadian Grand Prix","7","9","0","alfa","KCK","Alfa Romeo"
"2023","8","Canadian Grand Prix","8","8","0","haas","HAA","Haas F1 Team"
"2023","8","Canadian Grand Prix","9","7","0","williams","WIL","Williams"
"2023","8","Canadian Grand Prix","10","2","0","alphatauri","","AlphaTauri"
"2023","9","Austrian Grand Prix","1","377","9","red_bull","RED","Red Bull"
"2023","9","Austrian Grand Prix","2","178","0","mercedes","MER","Mercedes"
"2023","9","Austrian Grand Prix","3","175","0","aston_martin","AST","Aston Martin"
"2023","9","Austrian Grand Prix","4","154","0","ferrari","FER","Ferrari"
"2023","9","Austrian Grand Prix","5","47","0","alpine","ALP","Alpine F1 Team"
"2023","9","Austrian Grand Prix","6","29","0","mclaren","MCL","McLaren"
"2023","9","Austrian Grand Prix","7","11","0","haas","HAA","Haas F1 Team"
"2023","9","Austrian Grand Prix","8","9","0","alfa","KCK","Alfa Romeo"
"2023","9","Austrian Grand Prix","9","7","0","williams","WIL","Williams"
"2023","9","Austrian Grand Prix","10","2","0","alphatauri","","AlphaTauri"
"2023","10","British Grand Prix","1","411","10","red_bull","RED","Red Bull"
"2023","10","British Grand Prix","2","203","0","mercedes","MER","Mercedes"
"2023","10","British Grand Prix","3","181","0","aston_martin","AST","Aston Martin"
"2023","10","British Grand Prix","4","157","0","ferrari","FER","Ferrari"
"2023","10","British Grand Prix","5","59","0","mclaren","MCL","McLaren"
"2023","10","British Grand Prix","6","47","0","alpine","ALP","Alpine F1 Team"
"2023","10","British Grand Prix","7","11","0","williams","WIL","Williams"
"2023","10","British Grand Prix","8","11","0","haas","HAA","Haas F1 Team"
"2023","10","British Grand Prix","9","9","0","alfa","KCK","Alfa Romeo"
"2023","10","British Grand Prix","10","2","0","alphatauri","","AlphaTauri"
"2023","11","Hungarian Grand Prix","1","452","11","red_bull","RED","Red Bull"
"2023","11","Hungarian Grand Prix","2","223","0","mercedes","MER","Mercedes"
"2023","11","Hungarian Grand Prix","3","184","0","aston_martin","AST","Aston Martin"
"2023","11","Hungarian Grand Prix","4","167","0","ferrari","FER","Ferrari"
"2023","11","Hungarian Grand Prix","5","87","0","mclaren","MCL","McLaren"
"2023","11","Hungarian Grand Prix","6","47","0","alpine","ALP","Alpine F1 Team"
"2023","11","Hungarian Grand Prix","7","11","0","williams","WIL","Williams"
"2023","11","Hungarian Grand Prix","8","11","0","haas","HAA","Haas F1 Team"
"2023","11","Hungarian Grand Prix","9","9","0","alfa","KCK","Alfa Romeo"
"2023","11","Hungarian Grand Prix","10","2","0","alphatauri","","AlphaTauri"
"2023","13","Dutch Grand Prix","1","540","13","red_bull","RED","Red Bull"
"2023","13","Dutch Grand Prix","2","255","0","mercedes","MER","Mercedes"
"2023","13","Dutch Grand Prix","3","215","0","aston_martin","AST","Aston Martin"
"2023","13","Dutch Grand Prix","4","201","0","ferrari","FER","Ferrari"
"2023","13","Dutch Grand Prix","5","111","0","mclaren","MCL","McLaren"
"2023","13","Dutch Grand Prix","6","73","0","alpine","ALP","Alpine F1 Team"
"2023","13","Dutch Grand Prix","7","15","0","williams","WIL","Williams"
"2023","13","Dutch Grand Prix","8","11","0","haas","HAA","Haas F1 Team"
"2023","13","Dutch Grand Prix","9","9","0","alfa","KCK","Alfa Romeo"
"2023","13","Dutch Grand Prix","10","3","0","alphatauri","","AlphaTauri"
"2023","14","Italian Grand Prix","1","583","14","red_bull","RED","Red Bull"
"2023","14","Italian Grand Prix","2","273","0","mercedes","MER","Mercedes"
"2023","14","Italian Grand Prix","3","228","0","ferrari","FER","Ferrari"
"2023","14","Italian Grand Prix","4","217","0","aston_martin","AST","Aston Martin"
"2023","14","Italian Grand Prix","5","115","0","mclaren","MCL","McLaren"
"2023","14","Italian Grand Prix","6","73","0","alpine","ALP","Alpine F1 Team"
"2023","14","Italian Grand Prix","7","21","0","williams","WIL","Williams"
"2023","14","Italian Grand Prix","8","11","0","haas","HAA","Haas F1 Team"
"2023","14","Italian Grand Prix","9","10","0","alfa","KCK","Alfa Romeo"
"2023","14","Italian Grand Prix","10","3","0","alphatauri","","AlphaTauri"
"2023","15","Singapore Grand Prix","1","597","14","red_bull","RED","Red Bull"
"2023","15","Singapore Grand Prix","2","289","0","mercedes","MER","Mercedes"
"2023","15","Singapore Grand Prix","3","265","1","ferrari","FER","Ferrari"
"2023","15","Singapore Grand Prix","4","217","0","aston_martin","AST","Aston Martin"
"2023","15","Singapore Grand Prix","5","139","0","mclaren","MCL","McLaren"
"2023","15","Singapore Grand Prix","6","81","0","alpine","ALP","Alpine F1 Team"
"2023","15","Singapore Grand Prix","7","21","0","williams","WIL","Williams"
"2023","15","Singapore Grand Prix","8","12","0","haas","HAA","Haas F1 Team"
"2023","15","Singapore Grand Prix","9","10","0","alfa","KCK","Alfa Romeo"
"2023","15","Singapore Grand Prix","10","5","0","alphatauri","","AlphaTauri"
"2023","16","Japanese Grand Prix","1","623","15","red_bull","RED","Red Bull"
"2023","16","Japanese Grand Prix","2","305","0","mercedes","MER","Mercedes"
"2023","16","Japanese Grand Prix","3","285","1","ferrari","FER","Ferrari"
"2023","16","Japanese Grand Prix","4","221","0","aston_martin","AST","Aston Martin"
"2023","16","Japanese Grand Prix","5","172","0","mclaren","MCL","McLaren"
"2023","16","Japanese Grand Prix","6","84","0","alpine","ALP","Alpine F1 Team"
"2023","16","Japanese Grand Prix","7","21","0","williams","WIL","Williams"
"2023","16","Japanese Grand Prix","8","12","0","haas","HAA","Haas F1 Team"
"2023","16","Japanese Grand Prix","9","10","0","alfa","KCK","Alfa Romeo"
"2023","16","Japanese Grand Prix","10","5","0","alphatauri","","AlphaTauri"
"2023","18","United States Grand Prix","1","706","17","red_bull","RED","Red Bull"
"2023","18","United States Grand Prix","2","344","0","mercedes","MER","Mercedes"
