"season","round","raceName","position","points","wins","constructorCode","constructorAbbr","constructor_name"
"2025","1","Australian Grand Prix","1","27","1","mclaren","MCL","McLaren"
"2025","1","Australian Grand Prix","2","27","0","mercedes","MER","Mercedes"
"2025","1","Australian Grand Prix","3","18","0","red_bull","RED","Red Bull"
"2025","1","Australian Grand Prix","4","10","0","williams","WIL","Williams"
"2025","1","Australian Grand Prix","5","8","0","aston_martin","AST","Aston Martin"
"2025","1","Australian Grand Prix","6","6","0","sauber","KCK","Sauber"
"2025","1","Australian Grand Prix","7","5","0","ferrari","FER","Ferrari"
"2025","1","Australian Grand Prix","8","0","0","alpine","ALP","Alpine F1 Team"
"2025","1","Australian Grand Prix","9","0","0","rb","VRB","RB F1 Team"
"2025","1","Australian Grand Prix","10","0","0","haas","HAA","Haas F1 Team"
"2025","2","Chinese Grand Prix","1","78","2","mclaren","MCL","McLaren"
"2025","2","Chinese Grand Prix","2","57","0","mercedes","MER","Mercedes"
"2025","2","Chinese Grand Prix","3","36","0","red_bull","RED","Red Bull"
"2025","2","Chinese Grand Prix","4","17","0","williams","WIL","Williams"
"2025","2","Chinese Grand Prix","5","17","0","ferrari","FER","Ferrari"
"2025","2","Chinese Grand Prix","6","14","0","haas","HAA","Haas F1 Team"
"2025","2","Chinese Grand Prix","7","10","0","aston_martin","AST","Aston Martin"
"2025","2","Chinese Grand Prix","8","6","0","sauber","KCK","Sauber"
"2025","2","Chinese Grand Prix","9","3","0","rb","VRB","RB F1 Team"
"2025","2","Chinese Grand Prix","10","0","0","alpine","ALP","Alpine F1 Team"
"2025","3","Japanese Grand Prix","1","111","2","mclaren","MCL","McLaren"
"2025","3","Japanese Grand Prix","2","75","0","mercedes","MER","Mercedes"
"2025","3","Japanese Grand Prix","3","61","1","red_bull","RED","Red Bull"
"2025","3","Japanese Grand Prix","4","35","0","ferrari","FER","Ferrari"
"2025","3","Japanese Grand Prix","5","19","0","williams","WIL","Williams"
"2025","3","Japanese Grand Prix","6","15","0","haas","HAA","Haas F1 Team"
"2025","3","Japanese Grand Prix","7","10","0","aston_martin","AST","Aston Martin"
"2025","3","Japanese Grand Prix","8","7","0","rb","VRB","RB F1 Team"
"2025","3","Japanese Grand Prix","9","6","0","sauber","KCK","Sauber"
"2025","3","Japanese Grand Prix","10","0","0","alpine","ALP","Alpine F1 Team"
"2025","4","Bahrain Grand Prix","1","151","3","mclaren","MCL","McLaren"
"2025","4","Bahrain Grand Prix","2","93","0","mercedes","MER","Mercedes"
"2025","4","Bahrain Grand Prix","3","71","1","red_bull","RED","Red Bull"
"2025","4","Bahrain Grand Prix","4","57","0","ferrari","FER","Ferrari"
"2025","4","Bahrain Grand Prix","5","20","0","haas","HAA","Haas F1 Team"
