season,round,id,abbr,type,totalPoints,nnTotalPoints
2023,1,ALF,ALF,constructor,31,31
2023,1,ALP,ALP,constructor,8,8
2023,1,ALT,ALT,constructor,17,17
2023,1,AST,AST,constructor,56,56
2023,1,FER,FER,constructor,31,31
2023,1,HAA,HAA,constructor,12,12
2023,1,MCL,MCL,constructor,-16,0
2023,1,MER,MER,constructor,45,45
2023,1,RED,RED,constructor,78,78
2023,1,WIL,WIL,constructor,25,25
2023,2,ALF,ALF,constructor,7,7
2023,2,ALP,ALP,constructor,28,28
2023,2,ALT,ALT,constructor,15,15
2023,2,AST,AST,constructor,19,19
2023,2,FER,FER,constructor,59,59
2023,2,HAA,HAA,constructor,13,13
2023,2,MCL,MCL,constructor,14,14
2023,2,MER,MER,constructor,44,44
2023,2,RED,RED,constructor,95,95
2023,2,WIL,WIL,constructor,-16,0
2023,3,ALF,ALF,constructor,26,26
2023,3,ALP,ALP,constructor,11,11
2023,3,ALT,ALT,constructor,13,13
2023,3,AST,AST,constructor,54,54
2023,3,FER,FER,constructor,3,3
2023,3,HAA,HAA,constructor,18,18
2023,3,MCL,MCL,constructor,36,36
2023,3,MER,MER,constructor,32,32
2023,3,RED,RED,constructor,98,98
2023,3,WIL,WIL,constructor,-5,0
2023,4,ALF,ALF,constructor,-10,0
2023,4,ALP,ALP,constructor,25,25
2023,4,ALT,ALT,constructor,-23,0
2023,4,AST,AST,constructor,55,55
2023,4,FER,FER,constructor,63,63
2023,4,HAA,HAA,constructor,17,17
2023,4,MCL,MCL,constructor,23,23
2023,4,MER,MER,constructor,49,49
2023,4,RED,RED,constructor,108,108
2023,4,WIL,WIL,constructor,5,5
2023,5,ALF,ALF,constructor,8,8
2023,5,ALP,ALP,constructor,28,28
2023,5,ALT,ALT,constructor,17,17
2023,5,AST,AST,constructor,42,42
2023,5,FER,FER,constructor,56,56
2023,5,HAA,HAA,constructor,15,15
2023,5,MCL,MCL,constructor,8,8
2023,5,MER,MER,constructor,57,57
2023,5,RED,RED,constructor,97,97
2023,5,WIL,WIL,constructor,1,1
2023,7,ALF,ALF,constructor,22,22
2023,7,ALP,ALP,constructor,42,42
2023,7,ALT,ALT,constructor,1,1
2023,7,AST,AST,constructor,15,15
2023,7,FER,FER,constructor,37,37
2023,7,HAA,HAA,constructor,7,7
2023,7,MCL,MCL,constructor,15,15
2023,7,MER,MER,constructor,54,54
2023,7,RED,RED,constructor,63,63
2023,7,WIL,WIL,constructor,1,1
2023,8,ALF,ALF,constructor,19,19
2023,8,ALP,ALP,constructor,33,33
2023,8,ALT,ALT,constructor,20,20
2023,8,AST,AST,constructor,40,40
2023,8,FER,FER,constructor,38,38
2023,8,HAA,HAA,constructor,17,17
2023,8,MCL,MCL,constructor,11,11
2023,8,MER,MER,constructor,65,65
2023,8,RED,RED,constructor,96,96
2023,8,WIL,WIL,constructor,5,5
2023,9,ALF,ALF,constructor,11,11
2023,9,ALP,ALP,constructor,24,24
2023,9,ALT,ALT,constructor,6,6
2023,9,AST,AST,constructor,46,46
2023,9,FER,FER,constructor,46,46
2023,9,HAA,HAA,constructor,4,4
2023,9,MCL,MCL,constructor,15,15
2023,9,MER,MER,constructor,21,21
2023,9,RED,RED,constructor,86,86
2023,9,WIL,WIL,constructor,-2,0
2023,10,ALF,ALF,constructor,16,16
2023,10,ALP,ALP,constructor,21,21
2023,10,ALT,ALT,constructor,20,20
2023,10,AST,AST,constructor,63,63
2023,10,FER,FER,constructor,73,73
2023,10,HAA,HAA,constructor,14,14
2023,10,MCL,MCL,constructor,54,54
2023,10,MER,MER,constructor,70,70
2023,10,RED,RED,constructor,112,112
2023,10,WIL,WIL,constructor,35,35
2023,11,ALF,ALF,constructor,0,0
2023,11,ALP,ALP,constructor,-16,0
2023,11,ALT,ALT,constructor,5,5
2023,11,AST,AST,constructor,22,22
2023,11,FER,FER,constructor,25,25
2023,11,HAA,HAA,constructor,-18,0
2023,11,MCL,MCL,constructor,68,68
2023,11,MER,MER,constructor,53,53
2023,11,RED,RED,constructor,77,77
2023,11,WIL,WIL,constructor,19,19
2023,12,ALF,ALF,constructor,6,6
2023,12,ALP,ALP,constructor,-35,0
2023,12,ALT,ALT,constructor,8,8
2023,12,AST,AST,constructor,21,21
2023,12,FER,FER,constructor,32,32
2023,12,HAA,HAA,constructor,10,10
2023,12,MCL,MCL,constructor,62,62
2023,12,MER,MER,constructor,52,52
2023,12,RED,RED,constructor,95,95
2023,12,WIL,WIL,constructor,9,9
2023,13,ALF,ALF,constructor,26,26
2023,13,ALP,ALP,constructor,43,43
2023,13,ALT,ALT,constructor,18,18
2023,13,AST,AST,constructor,24,24
2023,13,FER,FER,constructor,38,38
2023,13,HAA,HAA,constructor,23,23
2023,13,MCL,MCL,constructor,18,18
2023,13,MER,MER,constructor,70,70
2023,13,RED,RED,constructor,80,80
2023,13,WIL,WIL,constructor,21,21
2023,14,ALF,ALF,constructor,4,4
2023,14,ALP,ALP,constructor,66,66
2023,14,ALT,ALT,constructor,40,40
2023,14,AST,AST,constructor,67,67
2023,14,FER,FER,constructor,34,34
2023,14,HAA,HAA,constructor,26,26
2023,14,MCL,MCL,constructor,56,56
2023,14,MER,MER,constructor,40,40
2023,14,RED,RED,constructor,101,101
2023,14,WIL,WIL,constructor,9,9
2023,15,ALF,ALF,constructor,12,12
2023,15,ALP,ALP,constructor,-16,0
2023,15,ALT,ALT,constructor,-12,0
2023,15,AST,AST,constructor,17,17
2023,15,FER,FER,constructor,67,67
2023,15,HAA,HAA,constructor,0,0
2023,15,MCL,MCL,constructor,44,44
2023,15,MER,MER,constructor,44,44
2023,15,RED,RED,constructor,81,81
2023,15,WIL,WIL,constructor,20,20
2023,16,ALF,ALF,constructor,-8,0
2023,16,ALP,ALP,constructor,13,13
2023,16,ALT,ALT,constructor,-4,0
2023,16,AST,AST,constructor,4,4
2023,16,FER,FER,constructor,70,70
2023,16,HAA,HAA,constructor,18,18
2023,16,MCL,MCL,constructor,64,64
2023,16,MER,MER,constructor,47,47
2023,16,RED,RED,constructor,54,54
2023,16,WIL,WIL,constructor,19,19
2023,17,ALF,ALF,constructor,-10,0
2023,17,ALP,ALP,constructor,20,20
2023,17,ALT,ALT,constructor,15,15
2023,17,AST,AST,constructor,7,7
2023,17,FER,FER,constructor,65,65
2023,17,HAA,HAA,constructor,15,15
2023,17,MCL,MCL,constructor,66,66
2023,17,MER,MER,constructor,44,44
2023,17,RED,RED,constructor,46,46
2023,17,WIL,WIL,constructor,-35,0
2023,18,ALF,ALF,constructor,39,39
2023,18,ALP,ALP,constructor,23,23
2023,18,ALT,ALT,constructor,-4,0
2023,18,AST,AST,constructor,47,47
2023,18,FER,FER,constructor,18,18
2023,18,HAA,HAA,constructor,6,6
2023,18,MCL,MCL,constructor,110,110
2023,18,MER,MER,constructor,53,53
2023,18,RED,RED,constructor,64,64
2023,18,WIL,WIL,constructor,-10,0
2023,19,ALF,ALF,constructor,15,15
2023,19,ALP,ALP,constructor,27,27
2023,19,ALT,ALT,constructor,34,34
2023,19,AST,AST,constructor,0,0
2023,19,FER,FER,constructor,35,35
2023,19,HAA,HAA,constructor,30,30
2023,19,MCL,MCL,constructor,36,36
2023,19,MER,MER,constructor,31,31
2023,19,RED,RED,constructor,95,95
2023,19,WIL,WIL,constructor,29,29
2023,20,ALF,ALF,constructor,14,14
2023,20,ALP,ALP,constructor,21,21
2023,20,ALT,ALT,constructor,42,42
2023,20,AST,AST,constructor,-7,0
2023,20,FER,FER,constructor,63,63
2023,20,HAA,HAA,constructor,-7,0
2023,20,MCL,MCL,constructor,57,57
2023,20,MER,MER,constructor,69,69
2023,20,RED,RED,constructor,45,45
2023,20,WIL,WIL,constructor,20,20
2023,21,ALF,ALF,constructor,-31,0
2023,21,ALP,ALP,constructor,44,44
2023,21,ALT,ALT,constructor,31,31
2023,21,AST,AST,constructor,77,77
2023,21,FER,FER,constructor,28,28
2023,21,HAA,HAA,constructor,-19,0
2023,21,MCL,MCL,constructor,65,65
2023,21,MER,MER,constructor,24,24
2023,21,RED,RED,constructor,105,105
2023,21,WIL,WIL,constructor,2,2
2023,22,ALF,ALF,constructor,12,12
2023,22,ALP,ALP,constructor,46,46
2023,22,ALT,ALT,constructor,26,26
2023,22,AST,AST,constructor,56,56
2023,22,FER,FER,constructor,78,78
2023,22,HAA,HAA,constructor,12,12
2023,22,MCL,MCL,constructor,34,34
2023,22,MER,MER,constructor,45,45
2023,22,RED,RED,constructor,84,84
2023,22,WIL,WIL,constructor,7,7
2023,23,ALF,ALF,constructor,13,13
2023,23,ALP,ALP,constructor,11,11
2023,23,ALT,ALT,constructor,27,27
2023,23,AST,AST,constructor,32,32
2023,23,FER,FER,constructor,48,48
2023,23,HAA,HAA,constructor,2,2
2023,23,MCL,MCL,constructor,59,59
2023,23,MER,MER,constructor,51,51
2023,23,RED,RED,constructor,87,87
2023,23,WIL,WIL,constructor,12,12
2024,1,ALP,ALP,constructor,12,13
2024,1,AST,AST,constructor,20,21
2024,1,FER,FER,constructor,73,74
2024,1,HAA,HAA,constructor,9,12
2024,1,KCK,KCK,constructor,10,11
2024,1,MCL,MCL,constructor,36,36
2024,1,MER,MER,constructor,42,42
2024,1,RED,RED,constructor,89,89
2024,1,VRB,VRB,constructor,7,9
2024,1,WIL,WIL,constructor,4,8
2024,2,ALP,ALP,constructor,-13,8
2024,2,AST,AST,constructor,9,30
2024,2,FER,FER,constructor,58,58
2024,2,HAA,HAA,constructor,19,19
2024,2,KCK,KCK,constructor,-4,2
2024,2,MCL,MCL,constructor,41,42
2024,2,MER,MER,constructor,36,36
2024,2,RED,RED,constructor,90,90
2024,2,VRB,VRB,constructor,4,12
2024,2,WIL,WIL,constructor,14,14
2024,3,ALP,ALP,constructor,6,6
2024,3,AST,AST,constructor,35,35
2024,3,FER,FER,constructor,92,92
2024,3,HAA,HAA,constructor,20,20
2024,3,KCK,KCK,constructor,7,7
2024,3,MCL,MCL,constructor,54,54
2024,3,MER,MER,constructor,-17,13
2024,3,RED,RED,constructor,32,52
2024,3,VRB,VRB,constructor,24,24
2024,3,WIL,WIL,constructor,5,5
2024,4,ALP,ALP,constructor,11,11
2024,4,AST,AST,constructor,32,32
2024,4,FER,FER,constructor,59,59
2024,4,HAA,HAA,constructor,20,20
2024,4,KCK,KCK,constructor,-8,13
2024,4,MCL,MCL,constructor,39,43
2024,4,MER,MER,constructor,28,28
2024,4,RED,RED,constructor,108,108
2024,4,VRB,VRB,constructor,-4,16
2024,4,WIL,WIL,constructor,-10,10
2024,5,ALP,ALP,constructor,28,28
2024,5,AST,AST,constructor,29,53
2024,5,FER,FER,constructor,74,74
2024,5,HAA,HAA,constructor,26,30
2024,5,KCK,KCK,constructor,4,26
2024,5,MCL,MCL,constructor,48,53
2024,5,MER,MER,constructor,62,62
2024,5,RED,RED,constructor,126,127
2024,5,VRB,VRB,constructor,-14,26
2024,5,WIL,WIL,constructor,20,20
2024,6,ALP,ALP,constructor,29,29
2024,6,AST,AST,constructor,-7,22
2024,6,FER,FER,constructor,79,82
2024,6,HAA,HAA,constructor,19,23
2024,6,KCK,KCK,constructor,29,30
2024,6,MCL,MCL,constructor,50,73
2024,6,MER,MER,constructor,40,45
2024,6,RED,RED,constructor,85,86
2024,6,VRB,VRB,constructor,44,44
2024,6,WIL,WIL,constructor,4,28
2024,7,ALP,ALP,constructor,5,8
2024,7,AST,AST,constructor,15,15
2024,7,FER,FER,constructor,51,52
2024,7,HAA,HAA,constructor,21,21
2024,7,KCK,KCK,constructor,2,3
2024,7,MCL,MCL,constructor,64,64
2024,7,MER,MER,constructor,54,54
2024,7,RED,RED,constructor,61,61
2024,7,VRB,VRB,constructor,12,19
2024,7,WIL,WIL,constructor,-21,4
2024,8,ALP,ALP,constructor,-12,8
2024,8,AST,AST,constructor,13,13
2024,8,FER,FER,constructor,68,68
2024,8,HAA,HAA,constructor,-65,5
2024,8,KCK,KCK,constructor,12,13
2024,8,MCL,MCL,constructor,56,56
2024,8,MER,MER,constructor,46,46
2024,8,RED,RED,constructor,8,28
2024,8,VRB,VRB,constructor,12,12
2024,8,WIL,WIL,constructor,11,11
2024,9,ALP,ALP,constructor,31,31
2024,9,AST,AST,constructor,38,38
2024,9,FER,FER,constructor,-16,24
2024,9,HAA,HAA,constructor,34,34
