season,round,id,abbr,type,totalPoints,nnTotalPoints
2024,1,ALP,ALP,constructor,12,13
2024,1,AST,AST,constructor,20,21
2024,1,FER,FER,constructor,73,74
2024,1,HAA,HAA,constructor,9,12
2024,1,KCK,KCK,constructor,10,11
2024,1,MCL,MCL,constructor,36,36
2024,1,MER,MER,constructor,42,42
2024,1,RED,RED,constructor,89,89
2024,1,VRB,VRB,constructor,7,9
2024,1,WIL,WIL,constructor,4,8
2024,2,ALP,ALP,constructor,-13,8
2024,2,AST,AST,constructor,9,30
2024,2,FER,FER,constructor,58,58
2024,2,HAA,HAA,constructor,19,19
2024,2,KCK,KCK,constructor,-4,2
2024,2,MCL,MCL,constructor,41,42
2024,2,MER,MER,constructor,36,36
2024,2,RED,RED,constructor,90,90
2024,2,VRB,VRB,constructor,4,12
2024,2,WIL,WIL,constructor,14,14
2024,3,ALP,ALP,constructor,6,6
2024,3,AST,AST,constructor,35,35
2024,3,FER,FER,constructor,92,92
2024,3,HAA,HAA,constructor,20,20
2024,3,KCK,KCK,constructor,7,7
2024,3,MCL,MCL,constructor,54,54
2024,3,MER,MER,constructor,-17,13
2024,3,RED,RED,constructor,32,52
2024,3,VRB,VRB,constructor,24,24
2024,3,WIL,WIL,constructor,5,5
2024,4,ALP,ALP,constructor,11,11
2024,4,AST,AST,constructor,32,32
2024,4,FER,FER,constructor,59,59
2024,4,HAA,HAA,constructor,20,20
2024,4,KCK,KCK,constructor,-8,13
2024,4,MCL,MCL,constructor,39,43
2024,4,MER,MER,constructor,28,28
2024,4,RED,RED,constructor,108,108
2024,4,VRB,VRB,constructor,-4,16
2024,4,WIL,WIL,constructor,-10,10
2024,5,ALP,ALP,constructor,28,28
2024,5,AST,AST,constructor,29,53
2024,5,FER,FER,constructor,74,74
2024,5,HAA,HAA,constructor,26,30
2024,5,KCK,KCK,constructor,4,26
2024,5,MCL,MCL,constructor,48,53
2024,5,MER,MER,constructor,62,62
2024,5,RED,RED,constructor,126,127
2024,5,VRB,VRB,constructor,-14,26
2024,5,WIL,WIL,constructor,20,20
2024,6,ALP,ALP,constructor,29,29
2024,6,AST,AST,constructor,-7,22
2024,6,FER,FER,constructor,79,82
2024,6,HAA,HAA,constructor,19,23
2024,6,KCK,KCK,constructor,29,30
2024,6,MCL,MCL,constructor,50,73
2024,6,MER,MER,constructor,40,45
2024,6,RED,RED,constructor,85,86
2024,6,VRB,VRB,constructor,44,44
2024,6,WIL,WIL,constructor,4,28
2024,7,ALP,ALP,constructor,5,8
2024,7,AST,AST,constructor,15,15
2024,7,FER,FER,constructor,51,52
2024,7,HAA,HAA,constructor,21,21
2024,7,KCK,KCK,constructor,2,3
2024,7,MCL,MCL,constructor,64,64
2024,7,MER,MER,constructor,54,54
2024,7,RED,RED,constructor,61,61
2024,7,VRB,VRB,constructor,12,19
2024,7,WIL,WIL,constructor,-21,4
2024,8,ALP,ALP,constructor,-12,8
2024,8,AST,AST,constructor,13,13
2024,8,FER,FER,constructor,68,68
2024,8,HAA,HAA,constructor,-65,5
2024,8,KCK,KCK,constructor,12,13
2024,8,MCL,MCL,constructor,56,56
2024,8,MER,MER,constructor,46,46
2024,8,RED,RED,constructor,8,28
2024,8,VRB,VRB,constructor,12,12
2024,8,WIL,WIL,constructor,11,11
2024,9,ALP,ALP,constructor,31,31
2024,9,AST,AST,constructor,38,38
2024,9,FER,FER,constructor,-16,24
2024,9,HAA,HAA,constructor,34,34
2024,9,KCK,KCK,constructor,13,14
2024,9,MCL,MCL,constructor,57,57
2024,9,MER,MER,constructor,74,74
2024,9,RED,RED,constructor,25,45
2024,9,VRB,VRB,constructor,19,28
2024,9,WIL,WIL,constructor,-26,14
2024,10,ALP,ALP,constructor,24,28
2024,10,AST,AST,constructor,10,12
2024,10,FER,FER,constructor,44,44
2024,10,HAA,HAA,constructor,11,11
2024,10,KCK,KCK,constructor,8,10
2024,10,MCL,MCL,constructor,66,66
2024,10,MER,MER,constructor,66,66
2024,10,RED,RED,constructor,82,82
2024,10,VRB,VRB,constructor,10,11
2024,10,WIL,WIL,constructor,4,5
2024,11,ALP,ALP,constructor,21,27
2024,11,AST,AST,constructor,27,27
2024,11,FER,FER,constructor,69,73
2024,11,HAA,HAA,constructor,41,41
2024,11,KCK,KCK,constructor,9,11
2024,11,MCL,MCL,constructor,55,68
2024,11,MER,MER,constructor,76,76
2024,11,RED,RED,constructor,56,60
2024,11,VRB,VRB,constructor,23,23
2024,11,WIL,WIL,constructor,11,12
2024,12,ALP,ALP,constructor,-12,9
2024,12,AST,AST,constructor,31,31
2024,12,FER,FER,constructor,35,36
2024,12,HAA,HAA,constructor,30,30
2024,12,KCK,KCK,constructor,3,6
2024,12,MCL,MCL,constructor,59,59
2024,12,MER,MER,constructor,38,58
2024,12,RED,RED,constructor,55,55
2024,12,VRB,VRB,constructor,16,16
2024,12,WIL,WIL,constructor,15,15
2024,13,ALP,ALP,constructor,-10,11
2024,13,AST,AST,constructor,23,29
2024,13,FER,FER,constructor,47,47
2024,13,HAA,HAA,constructor,10,12
2024,13,KCK,KCK,constructor,2,7
2024,13,MCL,MCL,constructor,74,74
2024,13,MER,MER,constructor,58,58
2024,13,RED,RED,constructor,47,47
2024,13,VRB,VRB,constructor,25,27
2024,13,WIL,WIL,constructor,9,13
2024,14,ALP,ALP,constructor,18,19
2024,14,AST,AST,constructor,21,21
2024,14,FER,FER,constructor,47,48
2024,14,HAA,HAA,constructor,7,8
2024,14,KCK,KCK,constructor,-14,7
2024,14,MCL,MCL,constructor,67,67
2024,14,MER,MER,constructor,25,50
2024,14,RED,RED,constructor,69,69
2024,14,VRB,VRB,constructor,18,18
2024,14,WIL,WIL,constructor,5,6
2024,15,ALP,ALP,constructor,17,17
2024,15,AST,AST,constructor,17,25
2024,15,FER,FER,constructor,59,59
2024,15,HAA,HAA,constructor,16,16
2024,15,KCK,KCK,constructor,-2,5
2024,15,MCL,MCL,constructor,81,82
2024,15,MER,MER,constructor,39,39
2024,15,RED,RED,constructor,52,53
2024,15,VRB,VRB,constructor,15,20
2024,15,WIL,WIL,constructor,-2,18
2024,16,ALP,ALP,constructor,18,18
2024,16,AST,AST,constructor,11,13
2024,16,FER,FER,constructor,65,65
2024,16,HAA,HAA,constructor,11,15
2024,16,KCK,KCK,constructor,9,10
2024,16,MCL,MCL,constructor,83,85
2024,16,MER,MER,constructor,49,52
2024,16,RED,RED,constructor,40,40
2024,16,VRB,VRB,constructor,-15,6
2024,16,WIL,WIL,constructor,22,22
2024,17,ALP,ALP,constructor,2,18
2024,17,AST,AST,constructor,16,21
2024,17,FER,FER,constructor,34,50
2024,17,HAA,HAA,constructor,16,16
2024,17,KCK,KCK,constructor,17,18
2024,17,MCL,MCL,constructor,85,85
2024,17,MER,MER,constructor,65,65
2024,17,RED,RED,constructor,26,38
2024,17,VRB,VRB,constructor,-14,6
2024,17,WIL,WIL,constructor,31,31
2024,18,ALP,ALP,constructor,11,11
2024,18,AST,AST,constructor,18,18
2024,18,FER,FER,constructor,49,49
2024,18,HAA,HAA,constructor,10,18
2024,18,KCK,KCK,constructor,8,9
2024,18,MCL,MCL,constructor,81,81
2024,18,MER,MER,constructor,49,52
2024,18,RED,RED,constructor,47,47
2024,18,VRB,VRB,constructor,22,28
2024,18,WIL,WIL,constructor,-7,13
2024,19,ALP,ALP,constructor,14,26
2024,19,AST,AST,constructor,5,17
2024,19,FER,FER,constructor,97,97
2024,19,HAA,HAA,constructor,25,26
2024,19,KCK,KCK,constructor,6,11
2024,19,MCL,MCL,constructor,80,83
2024,19,MER,MER,constructor,33,55
2024,19,RED,RED,constructor,72,72
2024,19,VRB,VRB,constructor,28,31
2024,19,WIL,WIL,constructor,19,20
2024,20,ALP,ALP,constructor,21,21
2024,20,AST,AST,constructor,-5,15
2024,20,FER,FER,constructor,82,82
2024,20,HAA,HAA,constructor,34,34
2024,20,KCK,KCK,constructor,10,10
2024,20,MCL,MCL,constructor,73,73
2024,20,MER,MER,constructor,54,54
2024,20,RED,RED,constructor,41,44
2024,20,VRB,VRB,constructor,-13,11
2024,20,WIL,WIL,constructor,-5,15
2024,21,ALP,ALP,constructor,71,71
2024,21,AST,AST,constructor,-4,21
2024,21,FER,FER,constructor,24,44
2024,21,HAA,HAA,constructor,-29,21
2024,21,KCK,KCK,constructor,18,18
2024,21,MCL,MCL,constructor,50,55
2024,21,MER,MER,constructor,45,45
2024,21,RED,RED,constructor,96,96
2024,21,VRB,VRB,constructor,36,44
2024,21,WIL,WIL,constructor,-20,20
2024,22,ALP,ALP,constructor,-12,14
2024,22,AST,AST,constructor,14,15
2024,22,FER,FER,constructor,72,73
2024,22,HAA,HAA,constructor,27,27
2024,22,KCK,KCK,constructor,8,8
2024,22,MCL,MCL,constructor,66,66
2024,22,MER,MER,constructor,82,82
2024,22,RED,RED,constructor,55,55
2024,22,VRB,VRB,constructor,16,20
2024,22,WIL,WIL,constructor,-5,15
2024,23,ALP,ALP,constructor,9,29
2024,23,AST,AST,constructor,9,29
2024,23,FER,FER,constructor,70,70
2024,23,HAA,HAA,constructor,14,34
2024,23,KCK,KCK,constructor,35,35
2024,23,MCL,MCL,constructor,76,82
2024,23,MER,MER,constructor,47,56
2024,23,RED,RED,constructor,44,67
2024,23,VRB,VRB,constructor,14,21
2024,23,WIL,WIL,constructor,-12,10
2024,24,ALP,ALP,constructor,27,27
2024,24,AST,AST,constructor,18,20
2024,24,FER,FER,constructor,82,82
2024,24,HAA,HAA,constructor,30,33
2024,24,KCK,KCK,constructor,-3,17
2024,24,MCL,MCL,constructor,65,73
2024,24,MER,MER,constructor,55,55
2024,24,RED,RED,constructor,15,37
2024,24,VRB,VRB,constructor,11,17
2024,24,WIL,WIL,constructor,-10,11
