season,round,id,abbr,type,totalPoints,nnTotalPoints
2025,1,ALP_DOO,DOO,driver,-20,0
2025,1,ALP_GAS,GAS,driver,1,3
2025,1,AST_ALO,ALO,driver,-20,0
2025,1,AST_STR,STR,driver,16,16
2025,1,FER_HAM,HAM,driver,4,6
2025,1,FER_LEC,LEC,driver,12,13
2025,1,HAA_BEA,BEA,driver,2,7
2025,1,HAA_OCO,OCO,driver,8,8
2025,1,KCK_BOR,BOR,driver,-18,2
2025,1,KCK_HUL,HUL,driver,20,20
2025,1,MCL_NOR,NOR,driver,59,59
2025,1,MCL_PIA,PIA,driver,10,17
2025,1,MER_ANT,ANT,driver,32,32
2025,1,MER_RUS,RUS,driver,25,25
2025,1,RED_LAW,LAW,driver,-17,3
2025,1,RED_VER,VER,driver,29,29
2025,1,VRB_HAD,HAD,driver,-20,0
2025,1,VRB_TSU,TSU,driver,0,7
2025,1,WIL_ALB,ALB,driver,17,17
2025,1,WIL_SAI,SAI,driver,-19,1
2025,2,ALP_DOO,DOO,driver,11,15
2025,2,ALP_GAS,GAS,driver,-8,12
2025,2,AST_ALO,ALO,driver,-16,4
2025,2,AST_STR,STR,driver,17,17
2025,2,FER_HAM,HAM,driver,-1,19
2025,2,FER_LEC,LEC,driver,-12,9
2025,2,HAA_BEA,BEA,driver,20,23
2025,2,HAA_OCO,OCO,driver,24,24
2025,2,KCK_BOR,BOR,driver,7,11
2025,2,KCK_HUL,HUL,driver,2,5
2025,2,MCL_NOR,NOR,driver,41,43
2025,2,MCL_PIA,PIA,driver,45,45
2025,2,MER_ANT,ANT,driver,29,29
2025,2,MER_RUS,RUS,driver,35,36
2025,2,RED_LAW,LAW,driver,22,22
2025,2,RED_VER,VER,driver,30,31
2025,2,VRB_HAD,HAD,driver,11,15
2025,2,VRB_TSU,TSU,driver,6,13
2025,2,WIL_ALB,ALB,driver,11,13
2025,2,WIL_SAI,SAI,driver,8,12
2025,3,ALP_DOO,DOO,driver,6,6
2025,3,ALP_GAS,GAS,driver,0,2
2025,3,AST_ALO,ALO,driver,4,4
2025,3,AST_STR,STR,driver,2,2
2025,3,FER_HAM,HAM,driver,11,11
2025,3,FER_LEC,LEC,driver,20,20
2025,3,HAA_BEA,BEA,driver,4,4
2025,3,HAA_OCO,OCO,driver,1,1
2025,3,KCK_BOR,BOR,driver,-2,0
2025,3,KCK_HUL,HUL,driver,1,1
2025,3,MCL_NOR,NOR,driver,27,27
2025,3,MCL_PIA,PIA,driver,24,24
2025,3,MER_ANT,ANT,driver,23,23
2025,3,MER_RUS,RUS,driver,18,18
2025,3,RED_LAW,LAW,driver,-25,0
2025,3,RED_TSU,TSU,driver,13,13
2025,3,RED_VER,VER,driver,36,36
2025,3,VRB_HAD,HAD,driver,8,9
2025,3,VRB_LAW,LAW,driver,-4,0
2025,3,VRB_TSU,TSU,driver,-25,0
2025,3,WIL_ALB,ALB,driver,8,8
2025,3,WIL_SAI,SAI,driver,4,4
2025,4,ALP_DOO,DOO,driver,2,5
2025,4,ALP_GAS,GAS,driver,13,16
2025,4,AST_ALO,ALO,driver,5,7
2025,4,AST_STR,STR,driver,7,7
2025,4,FER_HAM,HAM,driver,38,38
2025,4,FER_LEC,LEC,driver,20,22
2025,4,HAA_BEA,BEA,driver,22,22
2025,4,HAA_OCO,OCO,driver,15,15
2025,4,KCK_BOR,BOR,driver,4,4
2025,4,KCK_HUL,HUL,driver,-20,0
2025,4,MCL_NOR,NOR,driver,32,32
