season,round,id,abbr,price,priceChange,percentOwned,x2PercentOwned
2025,1,ALP,ALP,9.5,-0.6,13,$undefined
2025,1,AST,AST,8.5,-0.6,20,$undefined
2025,1,FER,FER,27.1,0.3,36,$undefined
2025,1,HAA,HAA,7,0.6,16,$undefined
2025,1,KCK,KCK,6.2,-0.6,7,$undefined
2025,1,MCL,MCL,30,0.3,28,$undefined
2025,1,MER,MER,22.7,0.3,12,$undefined
2025,1,RED,RED,25.2,-0.1,13,$undefined
2025,1,VRB,VRB,8,-0.6,22,$undefined
2025,1,WIL,WIL,13.1,-0.2,33,$undefined
2025,2,ALP,ALP,8.9,-0.6,11,$undefined
2025,2,AST,AST,7.9,-0.6,19,$undefined
2025,2,FER,FER,27.4,-0.3,30,$undefined
2025,2,HAA,HAA,7.6,0.6,15,$undefined
2025,2,KCK,KCK,5.6,0.6,9,$undefined
2025,2,MCL,MCL,30.3,0.3,31,$undefined
2025,2,MER,MER,23,0.3,14,$undefined
2025,2,RED,RED,25.1,0.3,11,$undefined
2025,2,VRB,VRB,7.4,0.6,26,$undefined
2025,2,WIL,WIL,12.9,0.6,34,$undefined
2025,3,ALP,ALP,8.3,-0.6,9,$undefined
2025,3,AST,AST,7.3,-0.2,16,$undefined
2025,3,FER,FER,27.1,-0.1,24,$undefined
2025,3,HAA,HAA,8.2,0.6,19,$undefined
2025,3,KCK,KCK,6.2,-0.2,9,$undefined
2025,3,MCL,MCL,30.6,0.3,34,$undefined
2025,3,MER,MER,23.3,0.3,16,$undefined
2025,3,RED,RED,25.4,0.3,11,$undefined
2025,3,VRB,VRB,8,0.6,30,$undefined
2025,3,WIL,WIL,13.5,0.6,31,$undefined
2025,4,ALP,ALP,7.7,0.2,9,$undefined
2025,4,AST,AST,7.1,0.6,15,$undefined
2025,4,FER,FER,27,0.3,22,$undefined
2025,4,HAA,HAA,8.8,0.6,21,$undefined
2025,4,KCK,KCK,6,-0.6,9,$undefined
2025,4,MCL,MCL,30.9,0.3,36,$undefined
2025,4,MER,MER,23.6,0.3,18,$undefined
2025,4,RED,RED,25.7,0.3,11,$undefined
2025,4,VRB,VRB,8.6,0.6,31,$undefined
2025,4,WIL,WIL,14.1,0.6,29,$undefined
2025,5,ALP,ALP,7.9,0.2,10,$undefined
2025,5,AST,AST,7.7,0.6,15,$undefined
2025,5,FER,FER,27.3,0.3,21,$undefined
2025,5,HAA,HAA,9.4,0.6,23,$undefined
2025,5,KCK,KCK,5.4,-0.6,9,$undefined
2025,5,MCL,MCL,31.2,0.3,37,$undefined
2025,5,MER,MER,23.9,0.3,19,$undefined
2025,5,RED,RED,26,0.3,11,$undefined
2025,5,VRB,VRB,9.2,0.6,28,$undefined
2025,5,WIL,WIL,14.7,0.6,28,$undefined
2025,6,ALP,ALP,8.1,0.2,10,$undefined
2025,6,AST,AST,8.3,0.6,14,$undefined
2025,6,FER,FER,27.6,0.3,20,$undefined
2025,6,HAA,HAA,10,0.6,23,$undefined
2025,6,KCK,KCK,4.8,-0.3,9,$undefined
2025,6,MCL,MCL,31.5,0.3,37,$undefined
2025,6,MER,MER,24.2,0.3,20,$undefined
2025,6,RED,RED,26.3,0.3,10,$undefined
2025,6,VRB,VRB,9.8,0.2,27,$undefined
2025,6,WIL,WIL,15.3,0.6,28,$undefined
2025,7,ALP,ALP,8.3,-0.6,11,$undefined
2025,7,AST,AST,8.9,0.6,14,$undefined
2025,7,FER,FER,27.9,0.3,19,$undefined
2025,7,HAA,HAA,10.6,-0.6,23,$undefined
2025,7,KCK,KCK,4.5,0.6,10,$undefined
2025,7,MCL,MCL,31.8,0.3,38,$undefined
2025,7,MER,MER,24.5,0.3,20,$undefined
2025,7,RED,RED,26.6,0.3,10,$undefined
2025,7,VRB,VRB,10,0.6,26,$undefined
2025,7,WIL,WIL,15.9,0.6,29,$undefined
2025,8,ALP,ALP,7.7,-0.6,11,$undefined
2025,8,AST,AST,9.5,-0.2,15,$undefined
2025,8,FER,FER,28.2,0.3,20,$undefined
2025,8,HAA,HAA,10,-0.2,21,$undefined
2025,8,KCK,KCK,5.1,0.6,10,$undefined
2025,8,MCL,MCL,32.1,0.3,38,$undefined
2025,8,MER,MER,24.8,-0.1,19,$undefined
2025,8,RED,RED,26.9,0.3,10,$undefined
2025,8,VRB,VRB,10.6,0.6,26,$undefined
2025,8,WIL,WIL,16.5,0.6,30,$undefined
2025,9,ALP,ALP,7.1,0.6,11,$undefined
2025,9,AST,AST,9.3,-0.6,14,$undefined
2025,9,FER,FER,28.5,0.3,20,$undefined
2025,9,HAA,HAA,9.8,-0.2,20,$undefined
2025,9,KCK,KCK,5.7,0.6,10,$undefined
2025,9,MCL,MCL,32.4,0.3,39,$undefined
2025,9,MER,MER,24.7,-0.3,18,$undefined
2025,9,RED,RED,27.2,0.3,10,$undefined
2025,9,VRB,VRB,11.2,0.6,27,$undefined
2025,9,WIL,WIL,17.1,0.2,30,$undefined
2025,10,ALP,ALP,7.7,0.6,11,$undefined
2025,10,AST,AST,8.7,0.2,14,$undefined
2025,10,FER,FER,28.8,0.3,20,$undefined
2025,10,HAA,HAA,9.6,0.6,19,$undefined
2025,10,KCK,KCK,6.3,0.6,11,$undefined
