season,round,id,abbr,price,priceChange,percentOwned,x2PercentOwned
2023,1,ALF_BOT,BOT,7.8,0,27,0
2023,1,ALF_ZHO,ZHO,4.9,0,13,0
2023,1,ALP_GAS,GAS,8.1,0.1,27,0
2023,1,ALP_OCO,OCO,9.4,-0.1,13,0
2023,1,ALT_DEV,DEV,5,0,23,0
2023,1,ALT_TSU,TSU,4.8,0,7,0
2023,1,AST_ALO,ALO,8.3,0.2,75,11
2023,1,AST_STR,STR,7.5,0.1,13,0
2023,1,FER_LEC,LEC,21.2,-0.1,42,17
2023,1,FER_SAI,SAI,17.2,0,25,4
2023,1,HAA_HUL,HUL,4.3,-0.1,25,0
2023,1,HAA_MAG,MAG,6.7,0,20,0
2023,1,MCL_NOR,NOR,11.2,-0.1,25,1
2023,1,MCL_PIA,PIA,7,-0.1,14,0
2023,1,MER_HAM,HAM,23.7,0,19,8
2023,1,MER_RUS,RUS,18.6,0,23,4
2023,1,RED_PER,PER,18,0.1,34,8
2023,1,RED_VER,VER,26.9,0.1,59,45
2023,1,WIL_ALB,ALB,5.5,0,9,0
2023,1,WIL_SAR,SAR,4,0,6,0
2023,2,ALF_BOT,BOT,7.8,-0.1,24,0
2023,2,ALF_ZHO,ZHO,4.9,0,15,0
2023,2,ALP_GAS,GAS,8.2,0,30,0
2023,2,ALP_OCO,OCO,9.3,0,11,0
2023,2,ALT_DEV,DEV,5,0,17,0
2023,2,ALT_TSU,TSU,4.8,0,8,0
2023,2,AST_ALO,ALO,8.5,0.2,80,14
2023,2,AST_STR,STR,7.6,-0.1,28,0
2023,2,FER_LEC,LEC,21.1,0.1,34,14
2023,2,FER_SAI,SAI,17.2,0,25,3
2023,2,HAA_HUL,HUL,4.2,-0.1,21,0
2023,2,HAA_MAG,MAG,6.7,0,15,0
2023,2,MCL_NOR,NOR,11.1,0,18,1
2023,2,MCL_PIA,PIA,6.9,-0.1,10,0
2023,2,MER_HAM,HAM,23.7,0,17,7
2023,2,MER_RUS,RUS,18.6,0,21,3
2023,2,RED_PER,PER,18.1,0.1,42,10
2023,2,RED_VER,VER,27,0.1,63,45
2023,2,WIL_ALB,ALB,5.5,-0.1,11,0
2023,2,WIL_SAR,SAR,4,-0.1,10,0
2023,3,ALF_BOT,BOT,7.7,0,21,0
2023,3,ALF_ZHO,ZHO,4.9,0,16,0
2023,3,ALP_GAS,GAS,8.2,-0.1,32,0
2023,3,ALP_OCO,OCO,9.3,-0.1,11,0
2023,3,ALT_DEV,DEV,5,-0.1,16,0
2023,3,ALT_TSU,TSU,4.8,0,9,0
2023,3,AST_ALO,ALO,8.7,0.2,81,15
2023,3,AST_STR,STR,7.5,0.1,30,0
2023,3,FER_LEC,LEC,21.2,-0.1,33,12
2023,3,FER_SAI,SAI,17.2,0,24,3
2023,3,HAA_HUL,HUL,4.1,0,21,0
2023,3,HAA_MAG,MAG,6.7,-0.1,15,0
2023,3,MCL_NOR,NOR,11.1,0.1,16,1
2023,3,MCL_PIA,PIA,6.8,0,9,0
2023,3,MER_HAM,HAM,23.7,0.1,16,7
2023,3,MER_RUS,RUS,18.6,-0.1,21,3
2023,3,RED_PER,PER,18.2,0.1,45,10
2023,3,RED_VER,VER,27.1,0.1,64,47
2023,3,WIL_ALB,ALB,5.4,-0.1,10,0
2023,3,WIL_SAR,SAR,3.9,-0.1,10,0
2023,4,ALF_BOT,BOT,7.7,-0.1,20,0
2023,4,ALF_ZHO,ZHO,4.9,-0.1,17,0
2023,4,ALP_GAS,GAS,8.1,0,30,0
2023,4,ALP_OCO,OCO,9.2,0,10,0
2023,4,ALT_DEV,DEV,4.9,-0.1,15,0
2023,4,ALT_TSU,TSU,4.8,-0.1,10,0
2023,4,AST_ALO,ALO,8.9,0.2,82,15
2023,4,AST_STR,STR,7.6,0.1,32,0
2023,4,FER_LEC,LEC,21.1,0.1,31,12
2023,4,FER_SAI,SAI,17.2,0,23,3
2023,4,HAA_HUL,HUL,4.1,-0.1,22,0
2023,4,HAA_MAG,MAG,6.6,0,14,0
2023,4,MCL_NOR,NOR,11.2,-0.1,17,1
2023,4,MCL_PIA,PIA,6.8,0,9,0
2023,4,MER_HAM,HAM,23.8,0,17,7
2023,4,MER_RUS,RUS,18.5,0.1,21,3
2023,4,RED_PER,PER,18.3,0.1,46,11
2023,4,RED_VER,VER,27.2,0.1,64,46
2023,4,WIL_ALB,ALB,5.3,-0.1,10,0
2023,4,WIL_SAR,SAR,3.8,-0.1,10,0
2023,5,ALF_BOT,BOT,7.6,-0.1,19,0
2023,5,ALF_ZHO,ZHO,4.8,-0.1,16,0
2023,5,ALP_GAS,GAS,8.1,0,30,0
2023,5,ALP_OCO,OCO,9.2,0,10,0
2023,5,ALT_DEV,DEV,4.8,-0.1,14,0
2023,5,ALT_TSU,TSU,4.7,0,10,0
2023,5,AST_ALO,ALO,9.1,0.1,82,14
