season,round,id,abbr,price,priceChange,percentOwned,x2PercentOwned
2024,1,ALP_GAS,GAS,7.8,-0.1,30,0
2024,1,ALP_OCO,OCO,7.8,0.5,12,0
2024,1,AST_ALO,ALO,15.8,0.1,33,6
2024,1,AST_STR,STR,10.7,0.5,18,1
2024,1,FER_LEC,LEC,19.1,0.3,32,15
2024,1,FER_SAI,SAI,18.5,0.3,16,5
2024,1,HAA_HUL,HUL,6.4,-0.2,20,0
2024,1,HAA_MAG,MAG,6.2,0.5,17,0
2024,1,KCK_BOT,BOT,6.4,-0.2,24,0
2024,1,KCK_ZHO,ZHO,6.6,0.5,15,0
2024,1,MCL_NOR,NOR,23,0.1,20,10
2024,1,MCL_PIA,PIA,19,0.1,15,3
2024,1,MER_HAM,HAM,19.3,0.1,19,9
2024,1,MER_RUS,RUS,18.8,0.3,11,3
2024,1,RED_PER,PER,20.8,0.3,12,6
2024,1,RED_VER,VER,30,0.2,48,39
2024,1,VRB_RIC,RIC,9,-0.1,52,2
2024,1,VRB_TSU,TSU,8,-0.2,29,0
2024,1,WIL_ALB,ALB,7,-0.2,59,1
2024,1,WIL_SAR,SAR,5.5,-0.1,17,0
2024,2,ALP_GAS,GAS,7.7,-0.2,25,0
2024,2,ALP_OCO,OCO,8.3,0.5,15,0
2024,2,AST_ALO,ALO,15.9,0.3,32,5
2024,2,AST_STR,STR,11.2,-0.2,18,1
2024,2,FER_BEA,BEA,14,1,2,0
2024,2,FER_LEC,LEC,19.4,1,34,17
2024,2,FER_SAI,SAI,18.8,0,16,5
2024,2,HAA_HUL,HUL,6.2,0.5,25,0
2024,2,HAA_MAG,MAG,6.7,0.5,22,0
2024,2,KCK_BOT,BOT,6.2,-0.2,24,0
2024,2,KCK_ZHO,ZHO,7.1,-0.2,15,0
2024,2,MCL_NOR,NOR,23.1,0.1,19,10
2024,2,MCL_PIA,PIA,19.1,0.3,16,4
2024,2,MER_HAM,HAM,19.4,0.1,17,7
2024,2,MER_RUS,RUS,19.1,0.1,11,2
2024,2,RED_PER,PER,21.1,1,13,7
2024,2,RED_VER,VER,30.2,0.2,47,39
2024,2,VRB_RIC,RIC,8.9,-0.2,46,1
2024,2,VRB_TSU,TSU,7.8,-0.2,29,0
2024,2,WIL_ALB,ALB,6.8,0.5,59,1
2024,2,WIL_SAR,SAR,5.4,0.5,16,0
2024,3,ALP_GAS,GAS,7.5,-0.1,23,0
2024,3,ALP_OCO,OCO,8.8,-0.2,14,0
2024,3,AST_ALO,ALO,16.2,0.1,32,5
2024,3,AST_STR,STR,11,1,17,1
2024,3,FER_BEA,BEA,15,0,1,0
2024,3,FER_LEC,LEC,20.4,1,33,16
2024,3,FER_SAI,SAI,18.8,1,21,8
2024,3,HAA_HUL,HUL,6.7,0.5,28,0
2024,3,HAA_MAG,MAG,7.2,0.5,24,0
2024,3,KCK_BOT,BOT,6,-0.1,24,0
2024,3,KCK_ZHO,ZHO,6.9,-0.1,14,0
2024,3,MCL_NOR,NOR,23.2,0.3,19,10
