"season","round","raceName","position","points","wins","constructorCode","constructorAbbr","constructor_name"
"2024","2","Saudi Arabian Grand Prix","1","87","2","red_bull","RED","Red Bull"
"2024","2","Saudi Arabian Grand Prix","2","49","0","ferrari","FER","Ferrari"
"2024","2","Saudi Arabian Grand Prix","3","28","0","mclaren","MCL","McLaren"
"2024","2","Saudi Arabian Grand Prix","4","26","0","mercedes","MER","Mercedes"
"2024","2","Saudi Arabian Grand Prix","5","13","0","aston_martin","AST","Aston Martin"
"2024","2","Saudi Arabian Grand Prix","6","1","0","haas","HAA","Haas F1 Team"
"2024","2","Saudi Arabian Grand Prix","7","0","0","williams","WIL","Williams"
"2024","2","Saudi Arabian Grand Prix","8","0","0","sauber","KCK","Sauber"
"2024","2","Saudi Arabian Grand Prix","9","0","0","rb","VRB","RB F1 Team"
"2024","2","Saudi Arabian Grand Prix","10","0","0","alpine","ALP","Alpine F1 Team"
"2024","5","Chinese Grand Prix","1","195","4","red_bull","RED","Red Bull"
"2024","5","Chinese Grand Prix","2","151","1","ferrari","FER","Ferrari"
"2024","5","Chinese Grand Prix","3","96","0","mclaren","MCL","McLaren"
"2024","5","Chinese Grand Prix","4","52","0","mercedes","MER","Mercedes"
"2024","5","Chinese Grand Prix","5","40","0","aston_martin","AST","Aston Martin"
"2024","5","Chinese Grand Prix","6","7","0","rb","VRB","RB F1 Team"
"2024","5","Chinese Grand Prix","7","5","0","haas","HAA","Haas F1 Team"
"2024","5","Chinese Grand Prix","8","0","0","williams","WIL","Williams"
"2024","5","Chinese Grand Prix","9","0","0","alpine","ALP","Alpine F1 Team"
"2024","5","Chinese Grand Prix","10","0","0","sauber","KCK","Sauber"
"2024","8","Monaco Grand Prix","1","276","5","red_bull","RED","Red Bull"
"2024","8","Monaco Grand Prix","2","252","2","ferrari","FER","Ferrari"
"2024","8","Monaco Grand Prix","3","184","1","mclaren","MCL","McLaren"
"2024","8","Monaco Grand Prix","4","96","0","mercedes","MER","Mercedes"
"2024","8","Monaco Grand Prix","5","44","0","aston_martin","AST","Aston Martin"
"2024","8","Monaco Grand Prix","6","24","0","rb","VRB","RB F1 Team"
"2024","8","Monaco Grand Prix","7","7","0","haas","HAA","Haas F1 Team"
"2024","8","Monaco Grand Prix","8","2","0","williams","WIL","Williams"
"2024","8","Monaco Grand Prix","9","2","0","alpine","ALP","Alpine F1 Team"
"2024","8","Monaco Grand Prix","10","0","0","sauber","KCK","Sauber"
"2024","11","Austrian Grand Prix","1","355","7","red_bull","RED","Red Bull"
"2024","11","Austrian Grand Prix","2","291","2","ferrari","FER","Ferrari"
"2024","11","Austrian Grand Prix","3","268","1","mclaren","MCL","McLaren"
"2024","11","Austrian Grand Prix","4","196","1","mercedes","MER","Mercedes"
"2024","11","Austrian Grand Prix","5","58","0","aston_martin","AST","Aston Martin"
"2024","11","Austrian Grand Prix","6","30","0","rb","VRB","RB F1 Team"
"2024","11","Austrian Grand Prix","7","19","0","haas","HAA","Haas F1 Team"
"2024","11","Austrian Grand Prix","8","9","0","alpine","ALP","Alpine F1 Team"
"2024","11","Austrian Grand Prix","9","2","0","williams","WIL","Williams"
"2024","11","Austrian Grand Prix","10","0","0","sauber","KCK","Sauber"
"2024","16","Italian Grand Prix","1","446","7","red_bull","RED","Red Bull"
"2024","16","Italian Grand Prix","2","438","3","mclaren","MCL","McLaren"
"2024","16","Italian Grand Prix","3","407","3","ferrari","FER","Ferrari"
"2024","16","Italian Grand Prix","4","292","3","mercedes","MER","Mercedes"
"2024","16","Italian Grand Prix","5","74","0","aston_martin","AST","Aston Martin"
"2024","16","Italian Grand Prix","6","34","0","rb","VRB","RB F1 Team"
"2024","16","Italian Grand Prix","7","28","0","haas","HAA","Haas F1 Team"
"2024","16","Italian Grand Prix","8","13","0","alpine","ALP","Alpine F1 Team"
"2024","16","Italian Grand Prix","9","6","0","williams","WIL","Williams"
"2024","16","Italian Grand Prix","10","0","0","sauber","KCK","Sauber"
"2024","19","United States Grand Prix","1","544","5","mclaren","MCL","McLaren"
"2024","19","United States Grand Prix","2","504","7","red_bull","RED","Red Bull"
"2024","19","United States Grand Prix","3","496","4","ferrari","FER","Ferrari"
"2024","19","United States Grand Prix","4","344","3","mercedes","MER","Mercedes"
"2024","19","United States Grand Prix","5","86","0","aston_martin","AST","Aston Martin"
"2024","19","United States Grand Prix","6","38","0","haas","HAA","Haas F1 Team"
"2024","19","United States Grand Prix","7","36","0","rb","VRB","RB F1 Team"
"2024","19","United States Grand Prix","8","17","0","williams","WIL","Williams"
"2024","19","United States Grand Prix","9","13","0","alpine","ALP","Alpine F1 Team"
"2024","19","United States Grand Prix","10","0","0","sauber","KCK","Sauber"
"2024","22","Las Vegas Grand Prix","1","608","5","mclaren","MCL","McLaren"
"2024","22","Las Vegas Grand Prix","2","584","5","ferrari","FER","Ferrari"
"2024","22","Las Vegas Grand Prix","3","555","8","red_bull","RED","Red Bull"
"2024","22","Las Vegas Grand Prix","4","425","4","mercedes","MER","Mercedes"
"2024","22","Las Vegas Grand Prix","5","86","0","aston_martin","AST","Aston Martin"
"2024","22","Las Vegas Grand Prix","6","50","0","haas","HAA","Haas F1 Team"
"2024","22","Las Vegas Grand Prix","7","49","0","alpine","ALP","Alpine F1 Team"
"2024","22","Las Vegas Grand Prix","8","46","0","rb","VRB","RB F1 Team"
"2024","22","Las Vegas Grand Prix","9","17","0","williams","WIL","Williams"
"2024","22","Las Vegas Grand Prix","10","0","0","sauber","KCK","Sauber"
