"season","round","raceName","points","constructorCode","constructorAbbr","constructor_name"
"2025","1","Australian Grand Prix","8","aston_martin","AST","Aston Martin"
"2025","1","Australian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","1","Australian Grand Prix","0","rb","VRB","RB F1 Team"
"2025","1","Australian Grand Prix","18","red_bull","RED","Red Bull"
"2025","1","Australian Grand Prix","27","mclaren","MCL","McLaren"
"2025","1","Australian Grand Prix","10","williams","WIL","Williams"
"2025","1","Australian Grand Prix","0","haas","HAA","Haas F1 Team"
"2025","1","Australian Grand Prix","6","sauber","KCK","Sauber"
"2025","1","Australian Grand Prix","27","mercedes","MER","Mercedes"
"2025","1","Australian Grand Prix","5","ferrari","FER","Ferrari"
"2025","2","Chinese Grand Prix","2","aston_martin","AST","Aston Martin"
"2025","2","Chinese Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","2","Chinese Grand Prix","0","rb","VRB","RB F1 Team"
"2025","2","Chinese Grand Prix","12","red_bull","RED","Red Bull"
"2025","2","Chinese Grand Prix","43","mclaren","MCL","McLaren"
"2025","2","Chinese Grand Prix","7","williams","WIL","Williams"
"2025","2","Chinese Grand Prix","14","haas","HAA","Haas F1 Team"
"2025","2","Chinese Grand Prix","0","sauber","KCK","Sauber"
"2025","2","Chinese Grand Prix","23","mercedes","MER","Mercedes"
"2025","2","Chinese Grand Prix","0","ferrari","FER","Ferrari"
"2025","3","Japanese Grand Prix","0","aston_martin","AST","Aston Martin"
"2025","3","Japanese Grand Prix","2","williams","WIL","Williams"
"2025","3","Japanese Grand Prix","4","rb","VRB","RB F1 Team"
"2025","3","Japanese Grand Prix","25","red_bull","RED","Red Bull"
"2025","3","Japanese Grand Prix","33","mclaren","MCL","McLaren"
"2025","3","Japanese Grand Prix","18","ferrari","FER","Ferrari"
"2025","3","Japanese Grand Prix","1","haas","HAA","Haas F1 Team"
"2025","3","Japanese Grand Prix","0","sauber","KCK","Sauber"
"2025","3","Japanese Grand Prix","18","mercedes","MER","Mercedes"
"2025","3","Japanese Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","4","Bahrain Grand Prix","0","aston_martin","AST","Aston Martin"
"2025","4","Bahrain Grand Prix","6","alpine","ALP","Alpine F1 Team"
"2025","4","Bahrain Grand Prix","0","rb","VRB","RB F1 Team"
"2025","4","Bahrain Grand Prix","10","red_bull","RED","Red Bull"
"2025","4","Bahrain Grand Prix","40","mclaren","MCL","McLaren"
"2025","4","Bahrain Grand Prix","22","ferrari","FER","Ferrari"
"2025","4","Bahrain Grand Prix","5","haas","HAA","Haas F1 Team"
"2025","4","Bahrain Grand Prix","0","sauber","KCK","Sauber"
"2025","4","Bahrain Grand Prix","18","mercedes","MER","Mercedes"
"2025","4","Bahrain Grand Prix","0","williams","WIL","Williams"
"2025","5","Saudi Arabian Grand Prix","0","aston_martin","AST","Aston Martin"
"2025","5","Saudi Arabian Grand Prix","6","williams","WIL","Williams"
"2025","5","Saudi Arabian Grand Prix","1","rb","VRB","RB F1 Team"
"2025","5","Saudi Arabian Grand Prix","18","red_bull","RED","Red Bull"
"2025","5","Saudi Arabian Grand Prix","37","mclaren","MCL","McLaren"
"2025","5","Saudi Arabian Grand Prix","21","ferrari","FER","Ferrari"
"2025","5","Saudi Arabian Grand Prix","0","haas","HAA","Haas F1 Team"
"2025","5","Saudi Arabian Grand Prix","0","sauber","KCK","Sauber"
"2025","5","Saudi Arabian Grand Prix","18","mercedes","MER","Mercedes"
"2025","5","Saudi Arabian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","6","Miami Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","6","Miami Grand Prix","12","williams","WIL","Williams"
"2025","6","Miami Grand Prix","0","rb","VRB","RB F1 Team"
"2025","6","Miami Grand Prix","13","red_bull","RED","Red Bull"
"2025","6","Miami Grand Prix","43","mclaren","MCL","McLaren"
"2025","6","Miami Grand Prix","10","ferrari","FER","Ferrari"
"2025","6","Miami Grand Prix","0","haas","HAA","Haas F1 Team"
"2025","6","Miami Grand Prix","0","sauber","KCK","Sauber"
"2025","6","Miami Grand Prix","23","mercedes","MER","Mercedes"
"2025","6","Miami Grand Prix","0","aston_martin","AST","Aston Martin"
"2025","10","Canadian Grand Prix","6","aston_martin","AST","Aston Martin"
"2025","10","Canadian Grand Prix","1","williams","WIL","Williams"
"2025","10","Canadian Grand Prix","0","rb","VRB","RB F1 Team"
"2025","10","Canadian Grand Prix","18","red_bull","RED","Red Bull"
"2025","10","Canadian Grand Prix","12","mclaren","MCL","McLaren"
"2025","10","Canadian Grand Prix","18","ferrari","FER","Ferrari"
"2025","10","Canadian Grand Prix","2","haas","HAA","Haas F1 Team"
"2025","10","Canadian Grand Prix","4","sauber","KCK","Sauber"
"2025","10","Canadian Grand Prix","40","mercedes","MER","Mercedes"
"2025","10","Canadian Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","15","Dutch Grand Prix","10","aston_martin","AST","Aston Martin"
"2025","15","Dutch Grand Prix","0","alpine","ALP","Alpine F1 Team"
"2025","15","Dutch Grand Prix","15","rb","VRB","RB F1 Team"
"2025","15","Dutch Grand Prix","20","red_bull","RED","Red Bull"
"2025","15","Dutch Grand Prix","25","mclaren","MCL","McLaren"
"2025","15","Dutch Grand Prix","10","williams","WIL","Williams"
"2025","15","Dutch Grand Prix","9","haas","HAA","Haas F1 Team"
"2025","15","Dutch Grand Prix","0","sauber","KCK","Sauber"
"2025","15","Dutch Grand Prix","12","mercedes","MER","Mercedes"
"2025","15","Dutch Grand Prix","0","ferrari","FER","Ferrari"
"2025","21","Ṣo Paulo Grand Prix","0","aston_martin","AST","Aston Martin"
"2025","21","Ṣo Paulo Grand Prix","1","alpine","ALP","Alpine F1 Team"
"2025","21","Ṣo Paulo Grand Prix","10","rb","VRB","RB F1 Team"
"2025","21","Ṣo Paulo Grand Prix","15","red_bull","RED","Red Bull"
"2025","21","Ṣo Paulo Grand Prix","35","mclaren","MCL","McLaren"
"2025","21","Ṣo Paulo Grand Prix","2","sauber","KCK","Sauber"
"2025","21","Ṣo Paulo Grand Prix","8","haas","HAA","Haas F1 Team"
"2025","21","Ṣo Paulo Grand Prix","0","ferrari","FER","Ferrari"
"2025","21","Ṣo Paulo Grand Prix","30","mercedes","MER","Mercedes"
"2025","21","Ṣo Paulo Grand Prix","0","williams","WIL","Williams"
